ФИО,Телефон,Регион,Домашний адрес
Абабакриев А,+7(727)245-07-51,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.амангельды,мкр.заря Востока, дом 20"
Санчирова Хо,+7(727)245-07-52,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.садовая,мкр.заря Востока, дом 52"
Кабиров Рустамжан Ярмухамедович,+7(727)245-07-53,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.амангельды,мкр.заря Востока, дом 15"
"""тоо """"байсат"""""" ",+7(727)245-07-54,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.северное Кольцо, дом 7"
Мамаразиев Абдыкаим Шарипович,+7(727)245-07-55,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.шоссейная,мкр.заря Востока, дом 13"
Мамедов Абу Ризаевич,+7(727)245-07-56,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.маметовой,мкр.заря Востока, дом 37"
Махпиров Аруп,+7(727)245-07-57,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 18"
Тажиддинова Рахима Мансуровна,+7(727)245-07-58,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.градокомплекс,мкр.заря Востока, дом 64"
Абитова Рисалят Джалаловна,+7(727)245-07-59,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.градокомплекс,мкр.заря Востока, дом 63"
Редясебов Хаким Сардиевич,+7(727)245-07-60,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.амангельды,мкр.заря Востока, дом 150"
Зурдинова Зайтунам Акимовна,+7(727)245-07-61,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.коктем,мкр.заря Востока, дом 15"
Мамарозиев М,+7(727)245-07-62,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.новая Садовая,мкр.заря Вост, дом 56"
Кусаинов Кола Халилович,+7(727)245-07-63,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.гвардейская,мкр.заря Востока, дом 30"
Мухтарова Маймунам,+7(727)245-07-64,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.шоссейная,мкр.заря Востока, дом 40"
Джинахунов Хусаин Исмаилович,+7(727)245-07-65,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.масанчи,мкр.заря Востока, дом 30"
Нурдунов Алимджан Рустембекович,+7(727)245-07-66,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.гвардейская,мкр.заря Востока, дом 23"
Абдулбакиев Аа,+7(727)245-07-67,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.маметовой,мкр.заря Востока, дом 53"
Кадырова Рыхан Абдрахмановна,+7(727)245-07-68,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.сайранская Восток 3, дом 6"
Сыдиков Абдусалам Рашитович,+7(727)245-07-69,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.маметовой,мкр.заря Востока, дом 18"
Олиза Сима Нухаровна,+7(727)245-07-70,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.садовая,мкр.заря Востока, дом 76"
Ризабаева М,+7(727)245-07-71,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.гвардейская,мкр.заря Востока, дом 13"
Сулейменов Харсан Магометжанович,+7(727)245-07-72,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 262"
Су-Джин-Ю Мария Закировна,+7(727)245-07-73,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.новая Садовая,мкр.заря Вост, дом 78"
Сулейманова Гузалай Алимджановна,+7(727)245-07-74,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.масанчи,мкр.заря Востока, дом 2"
Сайлыбаев Нурасил Байжумаевич,+7(727)245-07-75,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.градокомплекс,мкр.заря Востока, дом 225"
Абдулбакиева Арзыгуль Аметжановна,+7(727)245-07-76,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.маметовой,мкр.заря Востока, дом 53"
Машуров Ришат Маметжанович,+7(727)245-07-77,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.айнабулакская,мкр.заря Востока, дом 3"
Исламова Зайнеп Тохтахуновеа,+7(727)245-07-78,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.уйгурская,мкр.заря Востока, дом 37"
Камалов Сулейман Каримович,+7(727)245-07-79,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.биянху,мкр.заря Востока, дом 38"
Даутов Д,+7(727)245-07-80,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.масанчи,мкр.заря Востока, дом 3"
Садыров Мусрат Мухтарович,+7(727)245-07-81,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.новая Садовая,мкр.заря Вост, дом 38"
Керешов Турсун Абдрахманович,+7(727)245-07-82,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.масанчи,мкр.заря Востока, дом 15"
Миминова Амина Турсунджановна,+7(727)245-07-83,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 65"
Чп Турсунов М.б. ,+7(727)245-07-84,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.северное Кольцо, дом 12"
"""тоо """"байланыс-Телеком"""""" ",+7(727)245-07-85,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.шоссейная,мкр.заря Востока, дом 777"
Асанов Ширип Ясынович,+7(727)245-07-86,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.шоссейная,мкр.заря Востока, дом 26"
Илахунов Махаметжан Гуламович,+7(727)245-07-87,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.джансугурова,мкр.заря Востока, дом 26"
Чубанов Табылтай Кертаевич,+7(727)245-07-88,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.биянху,мкр.заря Востока, дом 57"
Азермаханов Ходжамурат,+7(727)245-07-89,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.градокомплекс,мкр.заря Востока, дом 232"
Ушуров Аубакир Нет Отчества,+7(727)245-07-90,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.уйгурская,мкр.заря Востока, дом 30"
Ризабаева Адиба Хашимовна,+7(727)245-07-91,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.новая Садовая,мкр.заря Вост, дом 30"
Маликова Ау,+7(727)245-07-92,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.амангельды,мкр.заря Востока, дом 39"
Рахидинов Пархат Пайзрахманович,+7(727)245-07-93,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.степная,мкр.заря Востока, дом 17"
"""ао """"алматыстройтранс"""""" ",+7(727)245-07-94,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.северное Кольцо, дом 9"
Русупов Шаруп,+7(727)245-07-95,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.масанчи,мкр.заря Востока, дом 26"
Ниязов Исраил Смаилович,+7(727)245-07-96,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.градокомплекс,мкр.заря Востока, дом 122"
Баратов Курбанджан,+7(727)245-07-97,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.амангельды,мкр.заря Востока, дом 43"
Чариева Иззетбуби Заманитдиновна,+7(727)245-07-98,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.айнабулакская,мкр.заря Востока, дом 15"
Кадыров Халмурат Педмагометович,+7(727)245-07-99,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.маметовой,мкр.заря Востока, дом 28"
Лифанова Рукия Харкиевна,+7(727)245-08-00,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.коктем,мкр.заря Востока, дом 28"
Салихаров Ильяс Харбиевич,+7(727)245-08-01,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.айнабулакская,мкр.заря Востока, дом 30"
Османова Замза Калеловна,+7(727)245-08-02,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.сайранская Восток 3, дом 17"
Темирова Гузель Маматиминовна,+7(727)245-08-03,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.градокомплекс,мкр.заря Востока, дом 33"
Шэнь Фэнфэн,+7(727)245-08-04,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.шоссейная,мкр.заря Востока, дом 87"
Сувазов Арли Вундизович,+7(727)245-08-05,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.садовая,мкр.заря Востока, дом 153"
Абитова Шамшинур Абдураимовна,+7(727)245-08-06,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.биянху,мкр.заря Востока, дом 18"
Аюпов Губар Даурович,+7(727)245-08-07,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 126"
Шалбаев Якуп Сулейманович,+7(727)245-08-08,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.детсадовская,мкр.заря Вост, дом 3"
Теловчи Вангар Харсанович,+7(727)245-08-09,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 210"
Бихур Марьям Салеровна,+7(727)245-08-10,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.масанчи,мкр.заря Востока, дом 34"
Каленов Тимур Алибекович,+7(727)245-08-11,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.масанчи,мкр.заря Востока, дом 40"
Мацей Зоя Шивазовна,+7(727)245-08-12,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.дунганская,мкр.заря Востока, дом 42"
Давутов Дилмурат Усенович,+7(727)245-08-13,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.айнабулакская,мкр.заря Востока, дом 24"
Сыдыков Умар,+7(727)245-08-14,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.биянху,мкр.заря Востока, дом 195"
Амраев Абдували Зипарович,+7(727)245-08-15,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.красноармейская,мкр.заря Вост, дом 5"
Давутов Гожахмет Усенович,+7(727)245-08-16,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.маметовой,мкр.заря Востока, дом 59"
Хасанов Халмурат Аблизович,+7(727)245-08-17,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 249"
Амутов Ушур,+7(727)245-08-18,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.шоссейная,мкр.заря Востока, дом 55"
Заматдинов Адильжан Баудинович,+7(727)245-08-19,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.амангельды, дом 19"
Итекова Розьян Исмаровна,+7(727)245-08-20,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.уйгурская,мкр.заря Востока, дом 28"
Надырова Сн,+7(727)245-08-21,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.дунганская,мкр.заря Востока, дом 48"
Исламов Исамудин,+7(727)245-08-22,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.амангельды,мкр.заря Востока, дом 70"
Зимин Александр Васильевич,+7(727)245-08-23,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.садовая,мкр.заря Востока, дом 152"
Салихова Любовь Андреевна,+7(727)245-08-24,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.биянху,мкр.заря Востока, дом 85, кв. 1"
Шинва Усен Харсанович,+7(727)245-08-25,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.уйгурская,мкр.заря Востока, дом 2"
Лодаров Юсуп Гасирович,+7(727)245-08-26,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 162"
Валиев Юнусджан,+7(727)245-08-27,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.уйгурская,мкр.заря Востока, дом 11"
Таншанло Абдулла Салирович,+7(727)245-08-28,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.сайран,мкр.заря Востока, дом 1"
Камалов Фарит Шакирович,+7(727)245-08-29,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.айнабулакская,мкр.заря Востока, дом 43"
Жанаев Болат Каленович,+7(727)245-08-30,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.масанчи,мкр.заря Востока, дом 36"
Насизова Халима Шамедыевна,+7(727)245-08-31,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.цунвазо Юсупа, дом 17"
Джамалова София Харькиевна,+7(727)245-08-32,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.новая Садовая,мкр.заря Вост, дом 101"
Угренинова Ов,+7(727)245-08-33,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.биянху,мкр.заря Востока, дом 81"
Хусаинджанова Оулхан Масутовна,+7(727)245-08-34,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.сайран,мкр.заря Востока, дом 12"
Кадыров Асанжан Ярмухамедович,+7(727)245-08-35,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.новая Садовая,мкр.заря Вост, дом 26"
Омирова Куляшхан,+7(727)245-08-36,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.айнабулакская,мкр.заря Востока, дом 39"
Ламзаров Вангар Исмазович,+7(727)245-08-37,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 145"
Ламзаров Хусен,+7(727)245-08-38,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 143"
Мафлянов Вангар Мадыевич,+7(727)245-08-39,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.масанчи,мкр.заря Востока, дом 78"
Машанло Дм,+7(727)245-08-40,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 268"
Шамаков Тайирахун,+7(727)245-08-41,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.садовая,мкр.заря Востока, дом 58"
Юсупджанов Ильмурат,+7(727)245-08-42,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 36"
Тайырова Нк,+7(727)245-08-43,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.биянху,мкр.заря Востока, дом 3"
Чп Денискин Сергей Вячеславович ,+7(727)245-08-44,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.северное Кольцо, дом 12"
Амраева Рехан Музапаровна,+7(727)245-08-45,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.биянху,мкр.заря Востока, дом 30"
Чубанов Кабылтай Кертаевич,+7(727)245-08-46,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.айнабулакская,мкр.заря Востока, дом 42"
Мансуров Илья Курбанжанович,+7(727)245-08-47,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.уйгурская,мкр.заря Востока, дом 59"
Мухамедова София,+7(727)245-08-48,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.садовая,мкр.заря Востока, дом 186"
Машанло Рашид Хусаинович,+7(727)245-08-49,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.бердыгулова Абдыгаппара, дом 148"
Михайлов Нк,+7(727)245-08-50,"Казахстан,Алматинская область,Алматы/Алма-Ата","Ул.биянху,мкр.заря Востока, дом 93"
